1,Oil,0,50
2,Spark Plug,1,10
3,Brake Pad,1,20
4,Battery,0,100
5,AC Refigerant,0,30
6,Tire,0,150
7,Brake Rotor,1,120
8,Serpentine Belt,1,250
9,Brake Fluid,0,15
10,Engine Airfilters,0,160
11,Cabin Filter,0,90
12,Leak Sealant,0,70
13,Headlight Lightbulb,1,25
14,Rearlight Lightbulb,1,35
15,Ignition Coil,0,40
16,Oil #2,0,50
17,Spark Plug #2,1,10
18,Brake Pad #2,1,20
19,Battery #2,0,100
20,AC Refigerant #2,0,30
21,Tire #2,0,150
22,Brake Rotor #2,1,120
23,Serpentine Belt #2,1,250
24,Brake Fluid #2,0,15
25,Engine Airfilters #2,0,160
26,Cabin Filter #2,0,90
27,Leak Sealant #2,0,70
28,Headlight Lightbulb #2,1,25
29,Rearlight Lightbulb #2,1,35
30,Ignition Coil #2,0,40
31,Oil #3,0,50
32,Spark Plug #3,1,10
33,Brake Pad #3,1,20
34,Battery #3,0,100
35,AC Refigerant #3,0,30
36,Tire #3,0,150
37,Brake Rotor #3,1,120
38,Serpentine Belt #3,1,250
39,Brake Fluid #3,0,15
40,Engine Airfilters #3,0,160
41,Cabin Filter #3,0,90
42,Leak Sealant #3,0,70
43,Headlight Lightbulb #3,1,25
44,Rearlight Lightbulb #3,1,35
45,Ignition Coil #3,0,40
46,Oil #3,0,50
47,Spark Plug #3,1,10
48,Brake Pad #3,1,20
49,Battery #3,0,100
50,AC Refigerant #3,0,30
51,Tire #3,0,150
52,Brake Rotor #3,1,120
53,Serpentine Belt #3,1,250
54,Brake Fluid #3,0,15
55,Engine Airfilters #3,0,160
56,Cabin Filter #3,0,90
57,Leak Sealant #3,0,70
58,Headlight Lightbulb #3,1,25
59,Rearlight Lightbulb #3,1,35
60,Ignition Coil #3,0,40
61,Oil #4,0,50
62,Spark Plug #4,1,10
63,Brake Pad #4,1,20
64,Battery #4,0,100
65,AC Refigerant #4,0,30
66,Tire #4,0,150
67,Brake Rotor #4,1,120
68,Serpentine Belt #4,1,250
69,Brake Fluid #4,0,15
70,Engine Airfilters #4,0,160
71,Cabin Filter #4,0,90
72,Leak Sealant #4,0,70
73,Headlight Lightbulb #4,1,25
74,Rearlight Lightbulb #4,1,35
75,Ignition Coil #4,0,40
76,Oil #4,0,50
77,Spark Plug #4,1,10
78,Brake Pad #4,1,20
79,Battery #4,0,100
80,AC Refigerant #4,0,30
81,Tire #4,0,150
82,Brake Rotor #4,1,120
83,Serpentine Belt #4,1,250
84,Brake Fluid #4,0,15
85,Engine Airfilters #4,0,160
86,Cabin Filter #4,0,90
87,Leak Sealant #4,0,70
88,Headlight Lightbulb #4,1,25
89,Rearlight Lightbulb #4,1,35
90,Ignition Coil #4,0,40
91,Oil #5,0,50
92,Spark Plug #5,1,10
93,Brake Pad #5,1,20
94,Battery #5,0,100
95,AC Refigerant #5,0,30
96,Tire #5,0,150
97,Brake Rotor #5,1,120
98,Serpentine Belt #5,1,250
99,Brake Fluid #5,0,15
100,Engine Airfilters #5,0,160
101,Cabin Filter #5,0,90
102,Leak Sealant #5,0,70
103,Headlight Lightbulb #5,1,25
104,Rearlight Lightbulb #5,1,35
105,Ignition Coil #5,0,40
106,Oil #5,0,50
107,Spark Plug #5,1,10
108,Brake Pad #5,1,20
109,Battery #5,0,100
110,AC Refigerant #5,0,30
111,Tire #5,0,150
112,Brake Rotor #5,1,120
113,Serpentine Belt #5,1,250
114,Brake Fluid #5,0,15
115,Engine Airfilters #5,0,160
116,Cabin Filter #5,0,90
117,Leak Sealant #5,0,70
118,Headlight Lightbulb #5,1,25
119,Rearlight Lightbulb #5,1,35
120,Ignition Coil #5,0,40
121,Oil #6,0,50
122,Spark Plug #6,1,10
123,Brake Pad #6,1,20
124,Battery #6,0,100
125,AC Refigerant #6,0,30
126,Tire #6,0,150
127,Brake Rotor #6,1,120
128,Serpentine Belt #6,1,250
129,Brake Fluid #6,0,15
130,Engine Airfilters #6,0,160
131,Cabin Filter #6,0,90
132,Leak Sealant #6,0,70
133,Headlight Lightbulb #6,1,25
134,Rearlight Lightbulb #6,1,35
135,Ignition Coil #6,0,40
136,Oil #6,0,50
137,Spark Plug #6,1,10
138,Brake Pad #6,1,20
139,Battery #6,0,100
140,AC Refigerant #6,0,30
141,Tire #6,0,150
142,Brake Rotor #6,1,120
143,Serpentine Belt #6,1,250
144,Brake Fluid #6,0,15
145,Engine Airfilters #6,0,160
146,Cabin Filter #6,0,90
147,Leak Sealant #6,0,70
148,Headlight Lightbulb #6,1,25
149,Rearlight Lightbulb #6,1,35
